,,,,,,,,,,,
,Treecko,,Learnset,,Grovyle,,Learnset,,Sceptile,,Learnset
,,,15 - Acid,,,,15 - Acid,,,,
,,,22 - Mega Drain,,,,22 - Mega Drain,,,,
,,,26 - Leech Seed,,,,26 - Leech Seed,,,,
,ROCK,GRASS,30 - Rock Slide,,ROCK,GRASS,30 - Rock Slide,,,,
,Ability 1,Water Absorb,36 - Giga Drain,,Ability 1,Water Absorb,36 - Giga Drain,,,,
,Ability 2,Water Absorb,44 - Spikes,,Ability 2,Water Absorb,44 - Spikes,,,,
,Base Stats,,50 - Recover,,Base Stats,,50 - Recover,,,,
,HP,66,60 - Petal Dance,,HP,106(+20),60 - Petal Dance,,,,
,Attack,41,70 - Frenzy Plant,,Attack,81,70 - Frenzy Plant,,,,
,Defense,77,,,Defense,117(+20),,,,,
,Special Attack,61,,,Special Attack,81,,,,,
,Special Defense,87,,,Special Defense,117(+10),,,,,
,Speed,23,,,Speed,3(-40),,,,,
,,,,,Evolves at level 40.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Anorith,,Learnset,,Armaldo,,Learnset,,,,
,,,1 - Knock Off,,,,1 - Knock Off,,,,
,,,1 - Accelerock,,,,1 - Accelerock,,,,
,,,7 - Rock Tomb,,,,7 - Rock Tomb,,,,
,,,13 - Mud Shot,,,,13 - Mud Shot,,,,
,,,19 - Rock Smash,,,,19 - Rock Smash,,,,
,BUG,ROCK,25 - Leech Life,,BUG,ROCK,25 - Leech Life,,,,
,Ability 1,Battle Armor,31 - Protect,,Ability 1,Battle Armor,31 - Protect,,,,
,Ability 2,Battle Armor,37 - Rock Slide,,Ability 2,Battle Armor,37 - Rock Slide,,,,
,Base Stats,,44 - Strength,,Base Stats,,44 - Strength,,,,
,HP,45,50 - Twineedle,,HP,75,50 - Twineedle,,,,
,Attack,95,56 - Cross Chop,,Attack,125,56 - Cross Chop,,,,
,Defense,50,70 - Head Smash,,Defense,100,70 - Head Smash,,,,
,Special Attack,40,,,Special Attack,40(-20),,,,,
,Special Defense,50,,,Special Defense,80,,,,,
,Speed,75,,,Speed,75(+30),,,,,
,,,,,Evolves at level 40.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Feebas,,Learnset,,Milotic,,Learnset,,,,
,,,1 - Flail,,,,1 - Flail,,,,
,,,66 - Muddy Water,,,,66 - Muddy Water,,,,
,,,66 - Recover,,,,66 - Recover,,,,
,,,66 - Mirror Coat,,,,66 - Mirror Coat,,,,
,,,66 - Baton Pass,,,,66 - Baton Pass,,,,
,WATER,,70 - Thunder,,WATER,,70 - Thunder,,,,
,Ability 1,Huge Power,80 - Hydro Cannon,,Ability 1,Marvel Scale,80 - Hydro Cannon,,,,
,Ability 2,Huge Power,,,Ability 2,Marvel Scale,,,,,
,Base Stats,,,,Base Stats,,,,,,
,HP,20,,,HP,105(+10),,,,,
,Attack,10,,,Attack,70(+10),,,,,
,Defense,20,,,Defense,79,,,,,
,Special Attack,10,,,Special Attack,110(+10),,,,,
,Special Defense,55,,,Special Defense,135(+10),,,,,
,Speed,80,,,Speed,101(+20),,,,,
,,,,,Evolves at level 66.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Castform,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,10 - Water Gun,,,,,,,,
,,,10 - Ember,,,,,,,,
,,,10 - Powder Snow,,,,,,,,
,,,20 - Flame Wheel,,,,,,,,
,NORMAL,,20 - Icy Wind,,,,,,,,
,Ability 1,Forecast,20 - Spark,,,,,,,,
,Ability 2,Forecast,40 - Ice Beam,,,,,,,,
,Base Stats,,40 - Flamethrower,,,,,,,,
,HP,70,40 - Thunderbolt,,,,,,,,
,Attack,120(+50),50 - Blizzard,,,,,,,,
,Defense,70,50 - Hydro Pump,,,,,,,,
,Special Attack,120(+50),50 - Thunder,,,,,,,,
,Special Defense,70,50 - Fire Blast,,,,,,,,
,Speed,120(+50),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Kecleon,,Learnset,,,,,,,,
,,,1 - Knock Off,,,,,,,,
,,,1 - Astonish,,,,,,,,
,,,1 - Scratch,,,,,,,,
,,,7 - Shadow Sneak,,,,,,,,
,,,12 - Slash,,,,,,,,
,NORMAL,GHOST,17 - Fake Out,,,,,,,,
,Ability 1,Shadow Tag,24 - Screech,,,,,,,,
,Ability 2,Shadow Tag,30 - Shadow Punch,,,,,,,,
,Base Stats,,35 - Body Slam,,,,,,,,
,HP,80(+20),40 - Shadow Ball,,,,,,,,
,Attack,110(+20),45 - Crush Claw,,,,,,,,
,Defense,70,50 - Double Edge,,,,,,,,
,Special Attack,60,55 - Shadow Slam,,,,,,,,
,Special Defense,120,60 - Cross Chop,,,,,,,,
,Speed,40,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Shuppet,,Learnset,,Banette,,Learnset,,,,
,,,1 - Knock Off,,,,1 - Knock Off,,,,
,,,1 - Astonish,,,,1 - Astonish,,,,
,,,1 - Pound,,,,1 - Pound,,,,
,,,7 - Shadow Sneak,,,,7 - Shadow Sneak,,,,
,,,12 - Headbutt,,,,12 - Headbutt,,,,
,GHOST,NORMAL,17 - Fake Out,,GHOST,NORMAL,17 - Fake Out,,,,
,Ability 1,Shadow Tag,24 - Will-O-Wisp,,Ability 1,Shadow Tag,24 - Will-O-Wisp,,,,
,Ability 2,Shadow Tag,30 - Shadow Punch,,Ability 2,Shadow Tag,30 - Shadow Punch,,,,
,Base Stats,,35 - Body Slam,,Base Stats,,35 - Body Slam,,,,
,HP,44,45 - Crush Claw,,HP,64,45 - Crush Claw,,,,
,Attack,75,50 - Double-Edge,,Attack,115,50 - Double-Edge,,,,
,Defense,35,55 - Shadow Slam,,Defense,65,55 - Shadow Slam,,,,
,Special Attack,63,60 - Cross Chop,,Special Attack,83,60 - Cross Chop,,,,
,Special Defense,33,,,Special Defense,63,,,,,
,Speed,45,,,Speed,105(+40),,,,,
,,,,,Evolves at level 37.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Duskull,,Learnset,,Dusclops,,Learnset,,,,
,,,1 - Astonish,,,,1 - Astonish,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,1 - Night Shade,,,,1 - Night Shade,,,,
,,,5 - Disable,,,,5 - Disable,,,,
,,,8 - Shadow Sneak,,,,8 - Shadow Sneak,,,,
,GHOST,,10 - Mach Punch,,GHOST,FIGHTING,10 - Mach Punch,,,,
,Ability 1,Levitate,12 - Foresight,,Ability 1,Levitate,12 - Foresight,,,,
,Ability 2,Levitate,16 - Knock Off,,Ability 2,Levitate,16 - Knock Off,,,,
,Base Stats,,23 - Rock Smash,,Base Stats,,23 - Rock Smash,,,,
,HP,60(+40),27 - Brick Break,,HP,80(+40),27 - Brick Break,,,,
,Attack,80(+40),34 - Shadow Ball,,Attack,110(+40),34 - Shadow Ball,,,,
,Defense,90,37 - Shadow Punch,,Defense,130,37 - Shadow Punch,,,,
,Special Attack,30,41 - Will-O-Wisp,,Special Attack,60,41 - Will-O-Wisp,,,,
,Special Defense,90,50 - Cross Chop,,Special Defense,130,50 - Cross Chop,,,,
,Speed,25,58 - Rest,,Speed,25,58 - Rest,,,,
,,,64 - Shadow Slam,,Evolves at level 55.,,64 - Shadow Slam,,,,
,,,75 - Superpower,,,,75 - Superpower,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Tropius,,Learnset,,,,,,,,
,,,1 - Leer,,,,,,,,
,,,1 - Gust,,,,,,,,
,,,7 - Growth,,,,,,,,
,,,11 - Razor Leaf,,,,,,,,
,,,17 - Dragonbreath,,,,,,,,
,GRASS,DRAGON,25 - Giga Drain,,,,,,,,
,Ability 1,Thick Fat,31 - Magical Leaf,,,,,,,,
,Ability 2,Thick Fat,37 - Dragon Claw,,,,,,,,
,Base Stats,,44 - Synthesis,,,,,,,,
,HP,109(+10),50 - Heat Wave,,,,,,,,
,Attack,48(-20),60 - Petal Dance,,,,,,,,
,Defense,103(+20),70 - Frenzy Plant,,,,,,,,
,Special Attack,112(+40),70 - Outrage,,,,,,,,
,Special Defense,97(+10),,,,,,,,,
,Speed,51,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Chimecho,,Learnset,,,,,,,,
,,,1 - Wrap,,,,,,,,
,,,6 - Growl,,,,,,,,
,,,9 - Confusion,,,,,,,,
,,,14 - Psybeam,,,,,,,,
,,,17 - Flash Cannon,,,,,,,,
,PSYCHIC,STEEL,22 - Recover,,,,,,,,
,Ability 1,Levitate,25 - Yawnh,,,,,,,,
,Ability 2,Levitate,30 - Will-O-Wisp,,,,,,,,
,Base Stats,,33 - Psychic,,,,,,,,
,HP,85(+20),38 - Heal Bell,,,,,,,,
,Attack,90(+40),41 - Mist Ball,,,,,,,,
,Defense,80,50 - Psycho Boost,,,,,,,,
,Special Attack,95,50 - Doom Desire,,,,,,,,
,Special Defense,90,,,,,,,,,
,Speed,65,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Absol,,Learnset,,,,,,,,
,,,1 - Knock Off,,,,,,,,
,,,5 - Leer,,,,,,,,
,,,9 - Taunt,,,,,,,,
,,,13 - Quick Attack,,,,,,,,
,,,17 - Bite,,,,,,,,
,,,21 - Rock Smash,,,,,,,,
,DARK,FIGHTING,26 - Faint Attack,,,,,,,,
,Ability 1,Huge Power,31 - Brick Break,,,,,,,,
,Ability 2,Huge Power,36 - Sucker Punch,,,,,,,,
,Base Stats,,41 - Crunch,,,,,,,,
,HP,65,46 - Submission,,,,,,,,
,Attack,55(-75),54 - Cross Chop,,,,,,,,
,Defense,60,60 - Earthquake,,,,,,,,
,Special Attack,125(+50),65 - Night Daze,,,,,,,,
,Special Defense,60,70 - Superpower,,,,,,,,
,Speed,105(+30),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Snorunt,,Learnset,,Glalie,,Learnset,,,,
,,,1 - Powder Snow,,,,1 - Powder Snow,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,8 - Ice Shard,,,,8 - Ice Shard,,,,
,,,12 - Bite,,,,12 - Bite,,,,
,,,16 - Icy Wind,,,,16 - Icy Wind,,,,
,ICE,,19 - Rock Tomb,,ICE,ROCK,19 - Rock Tomb,,,,
,Ability 1,Inner Focus,25 - Protect,,Ability 1,Rock Head,25 - Protect,,,,
,Ability 2,Oblivious,28 - Crunch,,Ability 2,Levitate,28 - Crunch,,,,
,Base Stats,,30 - Rock Slide,,Base Stats,,30 - Rock Slide,,,,
,HP,50,38 - Ice Beam,,HP,60(-20),38 - Ice Beam,,,,
,Attack,50,44 - Strength,,Attack,110(+30),44 - Strength,,,,
,Defense,50,60 - Head Smash,,Defense,60(-20),60 - Head Smash,,,,
,Special Attack,50,60 - Sheer Cold,,Special Attack,110(+30),60 - Sheer Cold,,,,
,Special Defense,50,,,Special Defense,60(-20),,,,,
,Speed,50,,,Speed,110(+30),,,,,
,,,,,Evolves at level 30.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Spheal,,Learnset,,Sealeo,,Learnset,,Walrein,,Learnset
,,,1 - Water Gun,,,,1 - Water Gun,,,,1 - Water Gun
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl
,,,1 - Aurora Beam,,,,1 - Aurora Beam,,,,1 - Aurora Beam
,,,1 - Encore,,,,1 - Encore,,,,1 - Encore
,,,9 - Growl,,,,9 - Growl,,,,9 - Growl
,ICE,WATER,13 - BubbleBeam,,ICE,WATER,13 - BubbleBeam,,ICE,WATER,13 - BubbleBeam
,Ability 1,Thick Fat,17 - Icy Wind,,Ability 1,Thick Fat,17 - Icy Wind,,Ability 1,Thick Fat,17 - Icy Wind
,Ability 2,Thick Fat,21 - Aurora Beam,,Ability 2,Thick Fat,21 - Aurora Beam,,Ability 2,Thick Fat,21 - Aurora Beam
,Base Stats,,29 - Rest,,Base Stats,,29 - Rest,,Base Stats,,29 - Rest
,HP,70,36 - Slack Off,,HP,90,36 - Slack Off,,HP,100(-10),36 - Slack Off
,Attack,40,42 - Ice Beam,,Attack,60,42 - Ice Beam,,Attack,50(-30),42 - Ice Beam
,Defense,50,47 - Surf,,Defense,70,47 - Surf,,Defense,125(+35),47 - Surf
,Special Attack,55,51 - Toxic,,Special Attack,75,51 - Toxic,,Special Attack,120(+25),51 - Toxic
,Special Defense,50,74 - Hydro Cannon,,Special Defense,70,74 - Hydro Cannon,,Special Defense,70(-20),74 - Hydro Cannon
,Speed,25,74 - Sheer Cold,,Speed,45,74 - Sheer Cold,,Speed,65,74 - Sheer Cold
,,,,,Evolves at level 22. ,,,,Evolves at level 42.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Relicanth,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,1 - Harden,,,,,,,,
,,,1 - Leer,,,,,,,,
,,,13 - Accelerock,,,,,,,,
,,,19 - BubbleBeam,,,,,,,,
,WATER,ROCK,25 - Rock Tomb,,,,,,,,
,Ability 1,Rock Head,31 - Rock Slide,,,,,,,,
,Ability 2,Swift Swim,37 - Protect,,,,,,,,
,Base Stats,,40 - Waterfall,,,,,,,,
,HP,100,46 - Strength,,,,,,,,
,Attack,110(+20),52 - Earthquake,,,,,,,,
,Defense,130,74 - Superpower,,,,,,,,
,Special Attack,105(+60),74 - Head Smash,,,,,,,,
,Special Defense,65,74 - Hydro Cannon,,,,,,,,
,Speed,55,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Clamperl,,Learnset,,Huntail,,Learnset,,Gorebyss,,Learnset
,,,1 - Clamp,,,,1 - Whirlpool,,,,1 - Whirlpool
,,,1 - Waterfall,,,,8 - Bite,,,,8 - Confusion
,,,1 - Aqua Jet,,,,15 - Screech,,,,15 - Screech
,,,1 - Icy Wind,,,,20 - Crunch,,,,20 - Psychic
,,,,,,,26 - Sucker Punch,,,,26 - Waterfall
,WATER,,,,WATER,DARK,32 - Waterfall,,WATER,PSYCHIC,32 - Mist Ball
,Ability 1,Shell Armor,,,Ability 1,Swift Swim,36 - Ice Beam,,Ability 1,Shell Armor,36 - Ice Beam
,Ability 2,Swift Swim,,,Ability 2,Shell Armor,40 - Surf,,Ability 2,Swift Swim,40 - Surf
,Base Stats,,,,Base Stats,,50 - Hydro Cannon,,Base Stats,,84 - Hydro Cannon
,HP,35,,,HP,75(+20),50 - Night Daze,,HP,75(+20),84 - Psycho Boost
,Attack,64,,,Attack,54(-50),,,Attack,24(-60),
,Defense,85,,,Defense,105,,,Defense,105,
,Special Attack,74,,,Special Attack,114(+20),,,Special Attack,124(+10),
,Special Defense,55,,,Special Defense,85(+10),,,Special Defense,75,
,Speed,32,,,Speed,82(+30),,,Speed,102(+50),
,,,,,Evolves at level 20.,,,,Evolves at Water Stone.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Luvdisc,,Learnset,,,,,,,,
,,,1 - Water Gun,,,,,,,,
,,,8 - Confusion,,,,,,,,
,,,15 - Psybeam,,,,,,,,
,,,20 - BubbleBeam,,,,,,,,
,,,40 - Psychic,,,,,,,,
,WATER,PSYCHIC,48 - Surf,,,,,,,,
,Ability 1,Swift Swim,54 - Mist Ball,,,,,,,,
,Ability 2,Swift Swim,60 - Ice Beam,,,,,,,,
,Base Stats,,60 - Hydro Cannon,,,,,,,,
,HP,53(+10),80 - Psycho Boost,,,,,,,,
,Attack,30,,,,,,,,,
,Defense,55,,,,,,,,,
,Special Attack,130(+90),,,,,,,,,
,Special Defense,65,,,,,,,,,
,Speed,147(+50),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Bagon,,Learnset,,Shelgon,,Learnset,,Salamence,,Learnset
,,,1 - Headbutt,,,,1 - Headbutt,,,,1 - Headbutt
,,,1 - Leer,,,,1 - Leer,,,,1 - Leer
,,,15 - Dragon Breath,,,,15 - Dragon Breath,,,,15 - Dragon Breath
,,,22 - Protect,,,,22 - Protect,,,,22 - Protect
,,,30 - Crunch,,,,30 - Crunch,,,,30 - Crunch
,DRAGON,,40 - Dragon Claw,,DRAGON,,40 - Dragon Claw,,DRAGON,FLYING,40 - Dragon Claw
,Ability 1,Rock Head,50 - Aerial Ace,,Ability 1,Rock Head,50 - Aerial Ace,,Ability 1,Rock Head,50 - Aerial Ace
,Ability 2,Shell Armor,55 - Heat Wave,,Ability 2,Shell Armor,55 - Heat Wave,,Ability 2,Shell Armor,55 - Heat Wave
,Base Stats,,74 - Outrage,,Base Stats,,74 - Outrage,,Base Stats,,74 - Outrage
,HP,45,74 - Sky Attack,,HP,65,74 - Sky Attack,,HP,90(-5),74 - Sky Attack
,Attack,75,,,Attack,95,,,Attack,135,
,Defense,60,,,Defense,100,,,Defense,80,
,Special Attack,40,,,Special Attack,60,,,Special Attack,110,
,Special Defense,30,,,Special Defense,50,,,Special Defense,80,
,Speed,50,,,Speed,50,,,Speed,105(+5),
,,,,,Evolves at level 30.,,,,Evolves at level 55.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Beldum,,Learnset,,Metang,,Learnset,,Metagross,,Learnset
,,,1 - Take Down,,,,1 - Take Down,,,,1 - Take Down
,,,21 - Bullet Punch,,,,21 - Bullet Punch,,,,21 - Bullet Punch
,,,26 - Psybeam,,,,26 - Psybeam,,,,26 - Psybeam
,,,32 - Metal Bash,,,,32 - Metal Bash,,,,32 - Metal Bash
,,,35 - Thunder Punch,,,,35 - Thunder Punch,,,,35 - Thunder Punch
,STEEL,PSYCHIC,35 - Ice Punch,,STEEL,PSYCHIC,35 - Ice Punch,,STEEL,PSYCHIC,35 - Ice Punch
,Ability 1,Levitate,35 - Fire Punch,,Ability 1,Levitate,35 - Fire Punch,,Ability 1,Levitate,35 - Fire Punch
,Ability 2,Battle Armor,38 - Psychic,,Ability 2,Battle Armor,38 - Psychic,,Ability 2,Battle Armor,38 - Psychic
,Base Stats,,44 - Flash Cannon,,Base Stats,,44 - Flash Cannon,,Base Stats,,44 - Flash Cannon
,HP,40,50 - Meteor Mash,,HP,70,50 - Meteor Mash,,HP,80,50 - Meteor Mash
,Attack,55,80 - Psycho Boost,,Attack,75,80 - Psycho Boost,,Attack,135,80 - Psycho Boost
,Defense,80,80 - Doom Desire,,Defense,100,80 - Doom Desire,,Defense,130,80 - Doom Desire
,Special Attack,35,,,Special Attack,55,,,Special Attack,120(+25),
,Special Defense,60,,,Special Defense,80,,,Special Defense,90,
,Speed,30,,,Speed,50,,,Speed,70,
,,,,,Evolves at level 20.,,,,Evolves at level 66.,,
